Manchete
Entenda a ofensiva de Trump contra universidades de ponta
Como prédios altos podem resistir a terremotos tão fortes? Veja 4 estratégias adotadas por engenheiros
Dia Mundial da Conscientização do Autismo: veja os obstáculos enfrentados e conheça iniciativas de apoio à inclusão
Resultado da lista de espera do Prouni 2025 é divulgado; confira calendário de comprovação de informações
Série 'Adolescência' será transmitida nas escolas britânicas
Por que 1º de abril é considerado o Dia da Abolição da Escravidão Indígena no Brasil
Trump revisa financiamento de Harvard e universidade pode perder mais de US$ 255 milhões
Pagamento do Pé-de-Meia para estudantes de escolas públicas começa hoje; veja calendário
Enem 2025: veja como e quando pedir isenção da taxa de inscrição
Pé-de-Meia Licenciaturas: inscrições terminam neste domingo; veja quem pode receber incentivo de R$ 1.050
